CHA  0.004  S    8.95    4.077    4.640    4.321    4.267    4.281    3.792    3.304    2.849    2.290    1.711    1.647    5.657    4.408    4.065    3.855    3.749
CHA  0.004  S    9.00    4.419    4.824    4.412    4.343    4.357    3.840    3.338    2.878    2.319    1.745    1.684    5.748    4.470    4.103    3.884    3.778
CHA  0.004  S    9.18    5.847    5.488    4.904    4.772    4.789    4.215    3.692    3.224    2.664    2.097    2.041    6.241    4.870    4.463    4.231    4.122
CHA  0.004  S    9.30    6.898    5.937    5.133    4.987    5.006    4.386    3.846    3.374    2.819    2.261    2.211    6.466    5.063    4.621    4.381    4.273
CHA  0.004  S    9.40    7.532    6.275    5.384    5.249    5.269    4.649    4.116    3.652    3.110    2.565    2.521    6.715    5.325    4.887    4.655    4.553
CHA  0.004  S    9.48    7.943    6.542    5.580    5.455    5.474    4.852    4.320    3.860    3.323    2.784    2.741    6.907    5.529    5.090    4.861    4.761
CHA  0.004  S    9.54    8.146    6.758    5.709    5.582    5.602    4.959    4.416    3.951    3.412    2.872    2.830    7.034    5.646    5.189    4.953    4.851
CHA  0.004  S    9.60    8.351    6.975    5.846    5.734    5.754    5.107    4.566    4.106    3.576    3.046    3.008    7.167    5.796    5.339    5.106    5.008
CHA  0.004  S    9.65    8.453    7.151    5.944    5.829    5.850    5.187    4.637    4.172    3.640    3.111    3.074    7.263    5.884    5.412    5.173    5.074
CHA  0.004  S    9.70    8.610    7.328    6.080    5.976    5.996    5.335    4.788    4.328    3.803    3.281    3.247    7.396    6.031    5.561    5.326    5.230
CHA  0.004  S    9.74    8.700    7.493    6.165    6.058    6.080    5.404    4.849    4.385    3.857    3.334    3.300    7.480    6.106    5.625    5.385    5.287
CHA  0.004  S    9.78    8.774    7.620    6.235    6.128    6.150    5.466    4.908    4.442    3.914    3.391    3.358    7.548    6.173    5.684    5.442    5.343
CHA  0.004  S    9.81    8.821    7.751    6.305    6.196    6.219    5.524    4.961    4.494    3.965    3.444    3.411    7.617    6.236    5.739    5.494    5.395
CHA  0.004  S    9.85    8.991    7.900    6.438    6.340    6.362    5.675    5.117    4.654    4.132    3.617    3.586    7.748    6.382    5.893    5.652    5.556
CHA  0.004  S    9.90    9.078    8.066    6.532    6.430    6.452    5.755    5.192    4.728    4.206    3.693    3.663    7.841    6.467    5.969    5.727    5.630
CHA  0.004  S    9.95    9.076    8.268    6.650    6.544    6.567    5.856    5.287    4.820    4.298    3.786    3.757    7.957    6.575    6.066    5.820    5.722
CHA  0.004  S   10.00    9.360    8.456    6.801    6.691    6.714    5.999    5.428    4.959    4.436    3.925    3.896    8.109    6.720    6.208    5.959    5.861
CHA  0.004  S   10.04    9.430    8.537    6.869    6.767    6.790    6.086    5.523    5.062    4.549    4.048    4.023    8.177    6.801    6.300    6.059    5.964
CHA  0.004  S   10.08    9.521    8.617    6.945    6.845    6.868    6.171    5.612    5.154    4.645    4.148    4.124    8.254    6.882    6.387    6.150    6.057
CHA  0.004  S   10.11    9.532    8.577    6.990    6.879    6.901    6.224    5.677    5.224    4.722    4.230    4.208    8.308    6.926    6.448    6.218    6.128
CHA  0.004  S   10.12    9.558    8.567    7.002    6.884    6.905    6.233    5.688    5.236    4.733    4.241    4.220    8.323    6.932    6.459    6.230    6.139
CHA  0.004  S   10.13    9.581    8.568    7.032    6.910    6.932    6.263    5.720    5.270    4.770    4.281    4.260    8.354    6.960    6.490    6.263    6.173
CHA  0.004  S   10.14    9.555    8.516    7.051    6.931    6.952    6.293    5.754    5.307    4.809    4.323    4.303    8.373    6.985    6.523    6.300    6.211
CHA  0.004  S   10.15    9.396    8.483    7.071    6.944    6.965    6.309    5.770    5.321    4.821    4.331    4.311    8.395    7.000    6.539    6.314    6.224
CHA  0.004  S   10.18    8.465    8.358    7.132    7.017    7.038    6.393    5.858    5.410    4.911    4.422    4.403    8.456    7.079    6.626    6.403    6.313
CHA  0.008  S    5.00   -4.516   -1.997   -0.232    0.784    0.771    1.018    1.151    1.338    1.625    1.719    1.918    0.879    1.233    1.678    2.089    2.373
CHA  0.008  S    5.48   -4.569   -2.048   -0.279    0.740    0.727    0.976    1.109    1.297    1.586    1.681    1.881    0.832    1.190    1.636    2.048    2.333
