log_age	Z	fraccion_M_star
6.97	0.05	0.8472437540760438
6.98	0.05	0.845186826645404
6.99	0.05	0.8420877939045674
7.00	0.05	0.8401077319825716
7.04	0.05	0.8335831514095927
7.08	0.05	0.8271632012953775
7.11	0.05	0.8214453971369418
7.15	0.05	0.8142072561934454
7.18	0.05	0.8102085131479627
7.20	0.05	0.8074643116193169
7.23	0.05	0.8028528455449772
7.26	0.05	0.7983411246139575
7.28	0.05	0.7950135987105494
7.30	0.05	0.7917267591054878
7.34	0.05	0.7848995304052477
7.38	0.05	0.7781588706052662
7.41	0.05	0.7743878230258588
7.45	0.05	0.7690351988411596
7.48	0.05	0.7648937858566925
7.51	0.05	0.7604623918173585
7.53	0.05	0.757507042647861
7.56	0.05	0.7528729988060127
7.58	0.05	0.7496544573024433
7.60	0.05	0.7462976262144928
7.62	0.05	0.7435800176095496
7.64	0.05	0.740906996766855
7.66	0.05	0.7382921023959754
7.68	0.05	0.7354746719325864
7.70	0.05	0.7327138257913216
7.74	0.05	0.726744727399562
7.78	0.05	0.7223965054092426
7.81	0.05	0.718559440495299
7.85	0.05	0.7132436016189537
7.87	0.05	0.710506507323274
7.90	0.05	0.7062266094282909
7.93	0.05	0.7017670566207679
7.95	0.05	0.6987149622703904
7.98	0.05	0.6946745385757659
8.00	0.05	0.6922741936328916
8.30	0.05	0.6532914914912876
8.48	0.05	0.6299843690358728
8.60	0.05	0.6123204981369292
8.70	0.05	0.5987354375504705
8.78	0.05	0.5871600367896216
8.85	0.05	0.5766464391231743
8.90	0.05	0.5695589365693381
8.95	0.05	0.5621108399783526
9.00	0.05	0.5542867599958666
9.18	0.05	0.5119009423911157
9.30	0.05	0.49736644235200933
9.40	0.05	0.48074069482252785
9.48	0.05	0.4684536714507466
9.54	0.05	0.45909989749861263
9.60	0.05	0.44847864449954317
9.65	0.05	0.43180657384738313
9.70	0.05	0.4244286938896184
9.74	0.05	0.4264847842145566
9.78	0.05	0.42039881676526375
9.81	0.05	0.4158209412640097
9.85	0.05	0.4095321560221433
9.90	0.05	0.4016686028672923
9.95	0.05	0.3945294651323088
10.00	0.05	0.3871299294728441
10.04	0.05	0.3810050051156889
10.08	0.05	0.37565110606323
10.11	0.05	0.37171614217250865
10.12	0.05	0.37039145904141646
10.13	0.05	0.36905957844530063
10.14	0.05	0.3677183501890886
10.15	0.05	0.36636954687403184
10.18	0.05	0.3622756384364721
